Wall time,Step,Value
1751445308,5000,-261.3029175
1751445330,10000,-262.6241608
1751445354,15000,-401.0487671
1751445377,20000,-285.9543457
1751445400,25000,-355.9775085
1751445422,30000,-417.4840393
1751445445,35000,-394.5527039
1751445467,40000,-410.0213013
1751445491,45000,-409.683075
1751445516,50000,-416.0292969
1751445539,55000,-415.6410522
1751445563,60000,-419.4295349
1751445587,65000,-419.4295349
1751445629,70000,-419.3852539
1751445660,75000,-419.4199829
1751445685,80000,-419.2183228
1751445711,85000,-419.0555115
1751445736,90000,-419.0407104
1751445763,95000,-418.5352478
1751445789,100000,-416.7062073
1751445815,105000,-416.1094971
1751445840,110000,-415.647522
1751445866,115000,-413.9180908
1751445887,120000,-412.0230408
1751445913,125000,-410.7311707
1751445936,130000,-408.2290344
1751445960,135000,-398.8255615
1751445989,140000,-398.8400269
1751446015,145000,-384.8483582
1751446043,150000,-343.8586426
1751446071,155000,-307.6904602
1751446102,160000,-278.6201782
1751446130,165000,-257.5337219
1751446156,170000,-196.5868835
1751446184,175000,-199.0595703
1751446214,180000,-186.3153992
1751446249,185000,-174.2381287
1751446277,190000,-214.7629089
1751446308,195000,-155.187561
1751446340,200000,-160.0679321
1751446370,205000,-162.0348663
1751446398,210000,-160.7638397
1751446422,215000,-160.9367828
1751446446,220000,-162.0811005
1751446467,225000,-162.5761566
1751446489,230000,-161.2576141
1751446508,235000,-161.1896057
1751446528,240000,-162.2202301
1751446547,245000,-159.9563446
1751446569,250000,-159.6266022
1751446594,255000,-158.5018311
1751446616,260000,-159.1136932
1751446638,265000,-158.0391693
1751446661,270000,-158.1337585
1751446686,275000,-160.4576569
1751446707,280000,-156.8628387
1751446734,285000,-155.4268341
1751446761,290000,-154.3996582
1751446790,295000,-154.5876007
1751446812,300000,-153.8194733
